message,label
im boat still moms check yo im half naked,0
bank granite issues strongbuy explosive pick members nasdaq symbol cdgt per,1
r giving second chance rahul dengra,0
played smash bros ltgt religiously,0
private account statement shows unredeemed points call identifier code expires,1
g says never answer texts confirmdeny,0
lost pound help,1
okey dokey iû÷ll bit sorting stuff,0
come people,0
wah lucky man save money hee,0
much better thanks lol,0
madamregret disturbancemight receive reference check dlf premaricakindly informedrgdsrakheshkerala,0
im coming home dinner,0
ok,0
ì decide faster cos sis going home liao,0
hi mate rv u hav nice hol message say hello coz havenåõt sent u ages started driving stay roadsrvx,0
amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount motherinlaw woman hitler eleven plus two twelve plus one amazing,0
good morning plz call sir,0
k actually guys meet sunoco howard right way,0
new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,0
oh yeah diet flew window,0
watching cartoon listening music amp eve go temple amp church u,0
india win level series means record,0
armand says get ass epsilon,0
tell said eat shit,0
oh phone phoned disconnected,0
please call customer service representative freephone ampm guaranteed å£ cash å£ prize,1
hey sweet wondering moment might come want send file someone wont go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss,0
purity friendship two smiling reading forwarded messageits smiling seeing name gud evng,0
heard u call night knickers make beg like u last time xx luv nikiyunet,1
place man,0
welp apparently retired,0
haha money leh later got go tuition haha looking empty slots driving lessons,0
aiyar hard type u later free tell call n scold n tell u,0
k ill call im close,0
wat late still early mah juz go dinner lor aiya dunno,0
yup paragon havent decided whether cut yet hee,0
watching tv got new job,0
private account statement shows unredeemed bonus points claim call identifier code expires,1
great run ttyl,0
hello love goes day wish well fine babe hope find job prospects miss boytoy teasing kiss,0
zoe hit im fucking shitin il defo try hardest cum morow luv u millions lekdog,0
text way cup stop work bus,0
congratulations ore mo owo wa enjoy wish many happy moments fro wherever go,0
good morning im suffering fever dysentry able come office today,0
tell pa pain de,0
got seventeen pounds seven hundred ml ûò hope ok,0
know complain num onlybettr directly go bsnl offc nd apply,0
kate jackson rec center ish right,0
kkcongratulation,0
whatsup dont u want sleep,0
lost å£ help,1
japanese proverb one u none itu must indian version one let none itleave finally kerala version one stop none make strike,0
search happiness main sources unhappiness accept life way comes u find happiness every moment u live,0
ok,0
faith makes things possiblehope makes things worklove makes things beautifulmay three christmasmerry christmas,0
ok c ya,0
im class holla later,0
buy space invaders chance win orig arcade game console press games arcade std wap charge see ocoukgames terms settings purchase,1
house water dock boat rolled newscaster dabbles jazz flute behind wheel,0
oh baby house come dont new pictures facebook,0
thx well months,0
gud mrng dear nice day,0
yar wanted scold u yest late already got zhong se qing u ask b ask ill go w u lor n u still act real,0
say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls,0
yes princess want catch big strong hands,0
wait know wesleys town bet hella drugs,0
problem renewal ill right away dont know details,0
part dont initiate dont understand,0
moon come color dreams stars make musical sms give warm peaceful sleep good night,0
stand away doesnt heart ache without dont wonder dont crave,0
urgent important information user today lucky day find log onto httpwwwurawinnercom fantastic surprise awaiting,1
oz guy kinda flaky one friend interested picking ltgt worth tonight possible,0
waiting machan call free,0
honeybee said im sweetest world god laughed amp said waitu havnt met person reading msg moral even god crack jokes gmgngegn,0
gas station go,0
yes ammaelife takes lot turns sit try hold steering,0
hmm shall bring bottle wine keep us amused joking ill still bring bottle red white see tomorrow,0
sorry missed babe late slept hope enjoy driving lesson boytoy miss teasing kiss,0
ok thanx gd nite ì,0
polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friends ptone reply hl info,1
nothing really making sure everybodys speed,0
wish holding tightly making see important much mean much need life,0
lol would mom would fit tell whole family crazy terrible,0
good well find way,0
iåõm cool ta luv vtired cause doin loads planning wk got social services inspection nursery take care spk sn x,0
sorry light turned green meant another friend wanted ltgt worth may around,0
que pases un buen tiempo something like,0
watching telugu moviewat abt u,0
mm ask come enough,0
winner valued network customer selected receivea å£ prize reward claim call claim code kl valid hours,1
yar lor keep raining non stop u wan go elsewhere,0
otherwise part time job natuition,0
good words words may leave u dismay many times,0
oooh bed ridden ey thinking,0
oclock mine bash flat plan,0
gsoh good spam ladiesu could b male gigolo join uks fastest growing mens club reply oncall mjzgroup stop reply stop msgå£rcvd,1
gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,0
im good thinking,0
one day crab running sea shorethe waves came n cleared footprints crab crab asked frnd r u clearing beautiful footprints waves replied fox following ur footprints catch thats cleared frndsship never lets u dwn gud nyt,0
dunno jus say go lido time,0
free msg get gnarls barkleys crazy ringtone totally free reply go message right,1
always saying welp,0
get official england poly ringtone colour flag yer mobile tonights game text tone flag optout txt eng stop box wwx å£,1
gud mrng dear hav nice day,0
also thk fast xy suggest one u dun wan ok going rain leh got gd,0
fran decided go n e way im completely broke knackered got bout c u mrw love janx ps dads fone credit,0
message free welcome new improved sex dogging club unsubscribe service reply stop msgsp,1
free st week nokia tone ur mobile every week txt nokia get txting tell ur mates wwwgetzedcouk pobox wwq normptone,1
cool like swimming pool jacuzzi house,0
course guess gods got hold right,0
oh getting even u u,0
whos class,0
loosu go hospital de dont let careless,0
k roommate also wants dubsack another friend may also want plan bringing extra ill tell know sure,0
oh haha den shld went today gee nvm la kaiez dun mind goin jazz oso scared hiphop open cant catch,0
im happy babe woo hoo party dude,0
allo braved buses taken trains triumphed mean weû÷re bû÷ham jolly good rest week,0
tell need investigate anywhere,0
urgent please call abta complimentary spanish holiday å£ cash await collection sae tcs box po ez ppm,1
call ok said call,0
urgent mobile awarded å£ bonus caller prize final try contact u call landline boxwrc ppm,1
miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one great phone receiving quality wins,0
wifehow knew time murder exactly,0
u lunch alone bored,0
true lov n care wil nevr go unrecognized though somone often makes mistakes valuing definitly undrstnd start missing,0
thought king hill thing,0
thk ì gotta go home urself cos ill b going shopping frens present,0
studying ill free next weekend,0
love ya try budget money better babe gary would freak knew,0
ok,0
genius whats brother pls send number skype,0
want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp,1
wishing family merry x mas happy new year advance,0
fujitsu series lifebook good,0
friendship poem dear dear u r near hear dont get fear live cheer tear u r always dear gud ni,0
haha yeah oz kind shitload,0
make girl happy difficult make girls happy u need friend companion lover chef ltgt good listener ltgt organizer ltgt good boyfriend ltgt clean ltgt sympathetic ltgt athletic ltgt warm ltgt courageous ltgt determined ltgt true ltgt dependable ltgt intelligent ltgt psychologist ltgt pest exterminator ltgt psychiatrist ltgt healer ltgt stylist ltgt driver aaniye pudunga venaam,0
arun u transfr amt,0
prabhaim sorydarealyfrm heart im sory,0
part checking iq,0
nothing splwat abt u whr ru,0
yeah theres quite bit left ill swing tomorrow get,0
looks like found something smoke great job,0
babe got enough money pick bread milk ill give back get home,0
askd u question hours answer,0
todays voda numbers ending selected receive award match please call quoting claim code standard rates app,1
dont pick call something important tell hrishi,0
text banneduk see cost p textoperator gga xxx,1
missing toopray inshah allah,0
hello peach cake tasts lush,0
guessin aint gonna,0
anyways go gym whatever love smiles hope ok good day babe miss much already,0
probably still going stuff,0
got call landline number asked come anna nagar go afternoon,0
dude ive seeing lotta corvettes lately,0
world suffers lot violence bad people silence good people,0
dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm,1
come back tampa ffffuuuuuuu,0
want please inside outside bedroom,0
hey pple nightsexcellent location wif breakfast hamper,0
oh send address,0
sorry cant take call right happens r waxsto wat want come ill get medical insurance shell able deliver basic care im currently shopping right medical insurance give til friday morning thats ill see major person guide right insurance,0
u wake already wat u u picking us later rite im taking sq reaching ard smth like dat u check e arrival time c ya soon,0
farm open,0
speaking cash yet,0
dont make life stressfull always find time laugh may add years life surely adds life ur years gud niswt dreams,0
lmao ok wont needing u hair anymore,0
uncles atlanta wish guys great semester,0
ultimately tor motive tui achieve korli,0
please come imin towndontmatter urgoin outlr,0
moment dayhas valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish u find todaygood morning,0
december mobile mths entitled update latest colour camera mobile free call mobile update co free,1
emailed yifeng part oredi ì get fr,0
objection bf coming,0
come home dont want u miserable,0
congrats mobile g videophones r call videochat wid ur mates play java games dload polyh music noline rentl bx ip pm,1
born god said oh another idiot born,0
dont prize go another customer tc wwwtcbiz pmin polo ltd suite london wj hl please call back busy,1
wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,0
yeah got list u joanna im feeling really anti social,0
see christmassy,0
k ill head mins see,0
tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfebtcs apply,1
guess useless calling u something important,0
hey sexy buns day word morning ym think,0
cant pick phone right pls send message,0
hear new divorce barbie comes kens stuff,1
thanks looking really appreciate,0
going join tomorrow,0
good luck draw takes place th feb good luck removal send stop customer services,1
says hi get ass back south tampa preferably kegger,0
wine flowing im nevering,0
cant think anyone spare room top head,0
hot live fantasies call p per min ntt ltd po box croydon cr wb national rate call,1
happened yo date,0
u secret admirer reveal thinks u r special call opt reply reveal stop per msg recd cust care,1
happen tell truth,0
nothing got msg frm tht unknown,0
could seen mei didt recognise face,0
sms ac jsco energy high u may know channel day ur leadership skills r strong psychic reply ans wquestion end reply end jsco,1
say somebody named tampa,0
yo theres class tmrw right,0
urgent mobile number awarded å£ prize guaranteed call land line claim valid hrs ppm,1
yes fine love safe,0
keep payasam rinu brings,0
need person give na,0
aiyah u ok already lar e nydc wheellock,0
